"subject_id","age_at_test","age_easier","gender","utterance","response"
"WKM_251031_01",4.55,"4 years, 6 months","boy","1","i have brown eyes"
"WKM_251031_01",4.55,"4 years, 6 months","boy","2","i have veins"
"WKM_251031_01",4.55,"4 years, 6 months","boy","3","i have a belly"
"WKM_251031_01",4.55,"4 years, 6 months","boy","4","i was living in the sky"
"WKM_251031_01",4.55,"4 years, 6 months","boy","5","i live in the water"
"WKM_251031_01",4.55,"4 years, 6 months","boy","6","i live in the computer"
"WKM_251031_01",4.55,"4 years, 6 months","boy","7","i live in your camera"
"WKM_251031_01",4.55,"4 years, 6 months","boy","8","i can fly in the sky"
"WKM_251031_01",4.55,"4 years, 6 months","boy","9","i live in the light"
"WKM_251031_01",4.55,"4 years, 6 months","boy","10","i live in your head"
"WKM_251031_01",4.55,"4 years, 6 months","boy","11","i live in your stomach"
"WKM_251031_01",4.55,"4 years, 6 months","boy","12","i have aiden in my feet"
"WKM_251031_02",3.93,"3 years, 11 months","girl","1","my mom is going to my birthday on facebook"
"WKM_251031_02",3.93,"3 years, 11 months","girl","2","my mom, dad, and sister are going to a festival today"
"WKM_251031_02",3.93,"3 years, 11 months","girl","3",""
"WKM_251031_02",3.93,"3 years, 11 months","girl","4","today i am going to play a game at the office with my dad"
"WKM_251031_02",3.93,"3 years, 11 months","girl","5","i am going to get ice cream today"
"WKM_251031_02",3.93,"3 years, 11 months","girl","6","i am going to stay at home and go on a trip"
"WKM_251031_02",3.93,"3 years, 11 months","girl","7","i am going to a festival and i am going to get my hair done and it will be rainbow hair for halloween"
"WKM_251031_02",3.93,"3 years, 11 months","girl","8","i am going to get my nails done"
"WKM_251031_02",3.93,"3 years, 11 months","girl","9","i am going to go painting today at my mom's home"
"WKM_251031_02",3.93,"3 years, 11 months","girl","10","i have a big barbie house in my home"
"WKM_251031_02",3.93,"3 years, 11 months","girl","11","i am going to paint again"
"WKM_251031_02",3.93,"3 years, 11 months","girl","12","i am going to get my hair done as black hair for star wars"
"WKM_251031_03",3.35,"3 years, 4 months","boy","1","i have a stomach hands feet hair eyes mouth and a nose"
"WKM_251031_03",3.35,"3 years, 4 months","boy","2","blue is my favorite color"
"WKM_251031_03",3.35,"3 years, 4 months","boy","3","i have eyes"
"WKM_251031_03",3.35,"3 years, 4 months","boy","4","i like to play the game we are playing"
"WKM_251031_03",3.35,"3 years, 4 months","boy","5","my name is enrique"
"WKM_251031_03",3.35,"3 years, 4 months","boy","6","i have feet"
"WKM_251031_03",3.35,"3 years, 4 months","boy","7","i have shoulders"
"WKM_251031_03",3.35,"3 years, 4 months","boy","8","i have a nose"
"WKM_251031_03",3.35,"3 years, 4 months","boy","9","i have eyes"
"WKM_251031_03",3.35,"3 years, 4 months","boy","10",""
"WKM_251031_03",3.35,"3 years, 4 months","boy","11","UNINTERPRETABLE"
"WKM_251031_03",3.35,"3 years, 4 months","boy","12","i have hands"
"WKM_251031_04",4.74,"4 years, 8 months","girl","1","i like to play with marbles"
"WKM_251031_04",4.74,"4 years, 8 months","girl","2","i like looking for marbles"
"WKM_251031_04",4.74,"4 years, 8 months","girl","3","i like looking at skyscrapers"
"WKM_251031_04",4.74,"4 years, 8 months","girl","4","i like painting at bing school"
"WKM_251031_04",4.74,"4 years, 8 months","girl","5","i like beautiful things"
"WKM_251031_04",4.74,"4 years, 8 months","girl","6","i like reading stories with my parents at night"
"WKM_251031_04",4.74,"4 years, 8 months","girl","7","my parents and i are going to be packing at night"
"WKM_251031_04",4.74,"4 years, 8 months","girl","8","i like resting at night"
"WKM_251031_04",4.74,"4 years, 8 months","girl","9","i like jaguars"
"WKM_251031_04",4.74,"4 years, 8 months","girl","10","i like relaxing"
"WKM_251031_04",4.74,"4 years, 8 months","girl","11","i like my nanny because she gives me toys"
"WKM_251031_04",4.74,"4 years, 8 months","girl","12","i like taking picutres with my family"
"WKM_251105_01",4.28,"4 years, 3 months","boy","1","i play with my big brother oliver"
"WKM_251105_01",4.28,"4 years, 3 months","boy","2","i always go to the park with oliver and after school i am going to go swimming"
