"subject_id","topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12"
"5e991aaac7bc1615ea5b3eb8","likes animals","moral self attribute","own attribute","nationality/descent","award/recognition","religion/spirituality","has children/child","favorite cuisine","travels","zodiac sign","moral self attribute","moral self attribute"
"67463480327b48a3f1380669","nationality/descent","has children/child","routine activity","romantic status","favorite activity","favorite holiday","family role","personal skill","personal skill","affect towards family","affect towards friends","loves movies"
"5ebb96b6cd673a0008ace9ce","nationality/descent","profession/school","profession/school","likes sports","likes activity","tv show/s","routine activity","values","personal skill","own attribute","future prediction","values"
"683cbc0c0c2d722831c8bc17","NR","hang with friends","learning/trying something new","hang with friends","learning/trying something new","learning/trying something new","learning/trying something new","likes sports","values","learning/trying something new","learning/trying something new","values"
"5d22526f851927001e3a515a","has children/child","personal skill","likes activity","likes activities","own attribute","moral self attribute","moral self attribute","moral self attribute","has pets","values","likes residence","aspirations"
"63af5c586c05eee8c3d03730","profession/school","place of residence","has children/child","profession/school","moral self attribute","likes activity","plays sports","place of residence","likes residence","NR","personal issue","values"
"66894dee33c97ad934460664","moral self attribute","moral self attribute","own attribute","own attribute","own attribute","own attribute","own attribute","own attribute","own attribute","own attribute","own attribute","own attribute"
"60fda57e0916dfe2157c9b00","favorite activity","likes sports","likes activity","likes activities","profession/school","travels","routine activity","other spoken language","likes activity","favorite videogame","affect towards family","place of residence"
"597fe89a1b41a20001749f57","nationality/descent","has children/child","has pets","likes artist/genre","favorite activity","likes activity","profession/school","routine activity","likes activity","likes activity","likes activity","likes activity"
"628f9cfbee6de7cc7322fecf","own attribute","nationality/descent","other spoken language","nationality/descent","nationality/descent","travels","likes sports","exercise","award/recognition","likes activity","likes artist/genre","affect towards family"
"675354c455030f7ac6a19d47","family role","profession/school","affect towards family","likes activities","affect towards family","affect towards friends","personal skill","addiction","personal issue","romantic status","aspirations","aspirations"
"660cda55786e37b1cbb49717","likes sports","learning/trying something new","plays instrument","favorite food/drink","tv show/s","exercise","routine activity","is teaching","routine activity","likes traveling","likes music","exercise"
"607778a26ff3de83125f50c5","favorite cuisine","likes sports","likes thing","profession/school","favorite cuisine","favorite weather","likes artist/genre","likes activity","learning/trying something new","favorite cuisine","likes book genre","religion/spirituality"
"5ea50a770005874d591bab05","favorite activity","learning/trying something new","likes activity","aspirations","favorite activity","own attribute","likes activity","likes activity","moral self attribute","values","values","NR"
"WKM_251031_01","NR","own attribute","own attribute","own attribute","live in pretend place","live in pretend place","fly in the sky","live in pretend place","live in pretend place","live in pretend place","own attribute","own attribute"
"WKM_251031_02","celebrate birthday","family activity","afterschool activity","afterschool activity","afterschool activity","afterschool activity","afterschool activity","afterschool activity","NR","toy","afterschool activity","afterschool activity"
"WKM_251031_03","own attribute","NR","own attribute","NR","likes the game","own attribute","own attribute","own attribute","own attribute","own attribute","likes activity","own attribute"
"WKM_251031_04","likes activity","likes activity","likes activity","likes activity","likes item","family activity","afterschool activity","likes resting","favorite animal","likes activity","likes person","family activity"
"WKM_251105_01","play with friends","swim","play at the park","ride bike","ride bike","sleep","run","bathroom","bathroom","play with siblings","play music","watch tv"
"WKM_251105_02","likes the game","likes the game","nest swing","likes the game","likes the game","likes the game","likes the game","likes the game","likes the game","likes the game","likes the game","likes the game"
"WKM_251107_01","favorite color","go in trash","go in trash","go in trash","speaks another language","dad's hair","go in trash","go in trash","go in trash","go in trash","likes person","NR"
"WKM_251107_02","favorite activity","favorite game","favorite color","play with friends","play with friends","favorite color","play with friends","play with siblings","play with friends","celebrate birthday","play at the park","play at the park"
"WKM_251107_03","pick up/drop off school","pick up/drop off school","pick up/drop off school","pick up/drop off school","disney park","mom","sad","sad","mom","sad","sad","sad"
"WKM_251107_04","sibling's name","favorite animal","favorite toy","family members","house feature","favorite toy","spelling of name","spelling of name","spelling of name","spelling of name","spelling of name","family members"
"WKM_251110_01","hairstyle","house feature","nickname","nickname","favorite candy","wearing something","nickname","nickname","nickname","nickname","nickname","nickname"
"WKM_251110_02","ask teacher","go to school","soccer game","go to school","soccer game","wearing something","wearing something","go to school","go to caves","toy","soccer game","soccer game"
"WKM_251110_03","get ready for bed","get ready for bed","get ready for bed","driving in the car","lights and stars","lights and stars","likes the game","lights and stars","lights and stars","lights and stars","lights and stars","lights and stars"
"WKM_251110_04","routine activity","likes activity","likes activity","favorite character","likes activity","watch tv","play","sleep on airplane","grown up activity","routine activity","goes to baley every sunday","play with friends"
